ID,short_name,type,study_groupings,title,year,attitude,doi,retracted(Y/N),study_design,publication_date
1,Hooper2002,Systematic Review,,Systematic review of long term effects of advice to reduce dietary salt in adults,2002,inconclusive,10.1136/bmj.325.7365.628,,Systematic Review,
2,Hooper2003,Systematic Review,,Reduced dietary salt for prevention of cardiovascular disease,2003,inconclusive,10.1002/14651858.CD003656,,Systematic Review,
3,Hooper2004,Systematic Review,,Advice to reduce dietary salt for prevention of cardiovascular disease,2004,inconclusive,10.1002/14651858.CD003656.pub2,,Systematic Review,
4,Strazzullo2009,Systematic Review,,"Salt intake, stroke, and cardiovascular disease: meta-analysis of prospective studies",2009,for,10.1136/bmj.b4567,,Systematic Review,
5,Taylor2011a,Systematic Review,,Reduced dietary salt for the prevention of cardiovascular disease: a meta-analysis of randomized controlled trials (Cochrane review),2011,inconclusive,10.1038/ajh.2011.115,,Systematic Review,
6,Taylor2011b,Systematic Review,,Reduced dietary salt for the prevention of cardiovascular disease,2011,inconclusive,10.1002/14651858.CD009217,,Systematic Review,
7,Li2012,Systematic Review,,High salt intake and stroke: meta-analysis of the epidemiologic evidence,2012,for,10.1111/j.1755-5949.2012.00355.x,,Systematic Review,
8,Aburto2012,Systematic Review,,"Effect of reduced sodium intake on cardiovascular disease, coronary heart disease and stroke",2012,for,,,Systematic Review,
9,Aburto2013,Systematic Review,,Effect of lower sodium intake on health: systematic review and meta-analyses,2013,for,10.1136/bmj.f1326,,Systematic Review,
10,DiNicolantonio2012,Systematic Review,,Low sodium versus normal sodium diets in systolic heart failure: systematic review and meta-analysis,2012,against,10.1136/heartjnl-2012-302337,Y,Systematic Review,
11,IOM2013,Systematic Review,,Sodium Intake in Populations: Assessment of Evidence,2013,against,10.17226/18311,,Systematic Review,
12,Adler2013,Systematic Review,,Reduced dietary salt for the prevention of cardiovascular disease,2013,inconclusive,10.1002/14651858.CD009217.pub2,Y,Systematic Review,
13,Graudal2014,Systematic Review,,"Compared with usual sodium intake, low- and excessive-sodium diets are associated with increased mortality: a meta-analysis",2014,for,10.1093/ajh/hpu028,,Systematic Review,
14,Poggio2014,Systematic Review,,Daily sodium consumption and CVD mortality in the general population: systematic review and meta-analysis of prospective studies,2014,against,10.1017/S1368980014000949,,Systematic Review,
26,Morgan1978,Primary Study Report,,Hypertension treated by salt restriction,1978,inconclusive,10.1016/s0140-6736(78)90479-8,,RCT,
27,Kagan1985,Primary Study Report,,Dietary and other risk factors for stroke in Hawaiian Japanese men,1985,against,10.1161/01.STR.16.3.390,,Cohort,
28,Khaw1987,Primary Study Report,,Dietary potassium and stroke,1987,against,10.1056/NEJM198708203170815,,Cohort,
29,HPT1990,Primary Study Report,HPT,The Hypertension Prevention Trial: three-year effects of dietary changes on blood pressure,1990,inconclusive,,,RCT,
